feature,missing_value,unique_value,matrix_correlation,shapley_value,xgboost,random_forest
tpay_all_app_distinct_users_30d,0.16014280249904378,not_unique,0.0,0.0,0.0,0.0
tpay_all_app_qty_30d,0.16014280249904378,not_unique,0.0,0.0,0.0,0.0
tpay_all_accfund_app_amt_30d,0.17391304347826086,not_unique,0.0,0.0,79.6551513671875,0.0
tpay_all_accfund_app_qty_30d,0.17391304347826086,not_unique,0.0,0.0,1.5249520540237427,0.0
tpay_as_payer_fp_tc_any_n_app_qty_30d,0.17773811041693233,not_unique,0.0,0.003260527,0.2034657597541809,0.0
tpay_as_payer_fp_tc_any_n_app_distinct_users_30d,0.17773811041693233,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_any_n_app_amt_30d,0.17773811041693233,not_unique,,0.0,0.0,8.534405650599145e-06
tpay_as_payer_fp_dev_n_app_amt_30d,0.18194568404947087,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_dev_n_app_distinct_users_30d,0.18194568404947087,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_dev_n_app_qty_30d,0.18194568404947087,not_unique,0.0,0.0,0.0,0.0
tpay_dcard_accfund_app_amt_30d,0.19087084023970424,not_unique,0.0,0.0013250445,1.3860864639282227,0.0
tpay_dcard_accfund_app_qty_30d,0.19087084023970424,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_n_app_amt_30d,0.19775596072931279,not_unique,0.0,0.0,0.0,7.66601304761775e-06
tpay_as_payer_fp_tc_n_app_distinct_users_30d,0.19775596072931279,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_n_app_qty_30d,0.19775596072931279,not_unique,,0.0,0.0,8.264775806100506e-06
tpay_as_payer_accmoney_regular_amt_90d,0.19928598750478133,not_unique,0.0,0.021967184,188.9364013671875,1.3925750049306765e-05
tpay_as_payer_accmoney_regular_qty_90d,0.19928598750478133,not_unique,0.0,0.0,0.0,3.237622069777766e-05
tpay_as_payer_accmoney_regular_distinct_users_90d,0.19928598750478133,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_accmoney_regular_app_qty_90d,0.21726380211653706,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_accmoney_regular_app_amt_90d,0.21726380211653706,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_card_regular_app_amt_90d,0.22593395384419224,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_card_regular_app_qty_90d,0.22593395384419224,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_all_regular_qty_7d,0.2266989672319265,not_unique,0.0,0.045049947,0.0,0.0
tpay_as_payer_all_regular_amt_7d,0.2266989672319265,not_unique,0.0,0.0,40.38823699951172,0.0
tpay_as_payer_all_regular_distinct_users_7d,0.2266989672319265,not_unique,0.0,0.0,0.0,0.0
tpay_all_accfund_qty_7d,0.25819201836032135,not_unique,0.0,0.02442245,0.0,0.0
tpay_all_accfund_amt_7d,0.25819201836032135,not_unique,0.0,0.01721836,1.5879428386688232,6.041256078628769e-06
tpay_as_payer_accmoney_regular_amt_30d,0.265459645543797,not_unique,0.0,0.023433577,0.0,2.2160371293948113e-05
tpay_as_payer_accmoney_regular_qty_30d,0.265459645543797,not_unique,0.0,0.0,0.0,2.7026604645765285e-05
tpay_as_payer_accmoney_regular_distinct_users_30d,0.265459645543797,not_unique,0.0,0.0,0.0,0.0
tpay_dcard_accfund_qty_7d,0.27196225933953844,not_unique,,0.0021430054,0.016905581578612328,0.0
tpay_dcard_accfund_amt_7d,0.27196225933953844,not_unique,,0.0,0.012014409527182579,0.0
tpay_as_payer_card_regular_qty_30d,0.27476730842789754,not_unique,0.0,0.0,3.1472458839416504,0.0
tpay_as_payer_card_regular_amt_30d,0.27476730842789754,not_unique,0.0,0.0,2.947551727294922,0.0
tpay_as_payer_card_regular_distinct_users_30d,0.27476730842789754,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_accmoney_regular_app_amt_30d,0.284202473543287,not_unique,0.0,0.0,0.36191725730895996,1.524466546050602e-05
tpay_as_payer_accmoney_regular_app_qty_30d,0.284202473543287,not_unique,0.0,0.0,0.0,4.719023372314934e-05
tpay_as_payer_all_regular_app_amt_7d,0.28496748693102125,not_unique,0.0,0.027149122,0.0,0.0
tpay_as_payer_all_regular_app_qty_7d,0.28496748693102125,not_unique,0.0,0.0,0.0,0.0
tpay_all_rej_distinct_users_90d,0.28560499808746653,not_unique,0.0,0.0,0.0,0.0
tpay_dcard_accfund_rej_qty_90d,0.3030728037740661,not_unique,0.0,0.0,0.0,0.0
tpay_all_accfund_rej_amt_90d,0.3030728037740661,not_unique,0.0,0.0,0.0,0.0
tpay_dcard_accfund_rej_amt_90d,0.3030728037740661,not_unique,,0.0,5.0507402420043945,0.0
tpay_all_accfund_rej_qty_90d,0.3030728037740661,not_unique,,0.0,1.7652487754821777,0.0
tpay_as_payer_fp_doc_n_app_qty_7d,0.3156955246716817,not_unique,0.0,0.0,0.33179089426994324,0.0
tpay_as_payer_fp_doc_n_app_amt_7d,0.3156955246716817,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_doc_n_app_distinct_users_7d,0.3156955246716817,not_unique,0.0,0.0,0.0,0.0
tpay_any_free_pass_ratio_over_free_pass_aplicable_90d,0.3265332143312508,not_unique,0.0,0.0,3.5436906814575195,0.0
tpay_any_free_pass_ratio_over_total_90d,0.3265332143312508,not_unique,0.0,0.0,0.0,0.0
tpay_fp_any_y_app_qty_90d,0.3265332143312508,not_unique,0.0,0.0,0.0,0.0
tpay_fp_any_y_app_amt_90d,0.3265332143312508,not_unique,0.0,0.0,0.0,0.0
tpay_fp_any_y_app_distinct_users_90d,0.3265332143312508,not_unique,,0.0,0.0,0.0
tpay_all_app_amt_7d,0.33698839729695274,not_unique,0.0,0.018175825,0.0,2.7756025995636917e-05
tpay_all_app_max_amt_7d,0.33698839729695274,not_unique,0.0,0.0,4.999173164367676,2.0284779850128556e-05
tpay_all_app_distinct_users_7d,0.33698839729695274,not_unique,0.0,0.0,0.0,0.0
tpay_all_app_qty_7d,0.33698839729695274,not_unique,0.0,0.0,0.0,0.0
tpay_all_app_min_amt_7d,0.33698839729695274,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_any_y_app_qty_90d,0.34693357133749836,not_unique,0.0,0.0,0.23085248470306396,7.3654753567911855e-06
tpay_fp_tc_any_y_app_amt_90d,0.34693357133749836,not_unique,,0.0,0.0,7.3861903904179665e-06
tpay_fp_tc_any_y_app_distinct_users_90d,0.34693357133749836,not_unique,,0.0,0.0,0.0
tpay_all_accfund_app_amt_7d,0.3545837052148413,not_unique,0.0,0.0,0.0,2.1228266087118374e-05
tpay_all_accfund_app_qty_7d,0.3545837052148413,not_unique,,0.0,14.41084098815918,0.0
crosses_qty_1h_ht_user_count,0.36350886140507455,not_unique,0.0,0.0,0.40482085943222046,0.0
tpay_as_payer_all_regular_rej_amt_90d,0.36605890603085556,not_unique,0.0,0.035955247,0.0,0.0
tpay_as_payer_all_regular_rej_qty_90d,0.36605890603085556,not_unique,0.0,0.0,5.744580268859863,0.0
tpay_as_payer_card_regular_app_amt_30d,0.37370903990819837,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_card_regular_app_qty_30d,0.37370903990819837,not_unique,0.0,0.0,0.0,0.0
tpay_dcard_accfund_app_qty_7d,0.37638658676526837,not_unique,0.0,0.0023165,0.6750375032424927,0.0
tpay_dcard_accfund_app_amt_7d,0.37638658676526837,not_unique,0.0,0.0,19.34735679626465,8.463332826839475e-05
tpay_as_payer_card_regular_rej_amt_90d,0.380721662629096,not_unique,0.0,0.019126194,0.0,0.0
tpay_any_free_pass_ratio_over_total_30d,0.380721662629096,not_unique,0.0,0.0,0.0,2.0302260336654455e-05
tpay_as_payer_card_regular_rej_qty_90d,0.380721662629096,not_unique,0.0,0.0,0.0,0.0
tpay_any_free_pass_ratio_over_free_pass_aplicable_30d,0.380721662629096,not_unique,0.0,0.0,0.0,0.0
tpay_fp_any_y_app_qty_30d,0.380721662629096,not_unique,0.0,0.0,0.0,0.0
tpay_fp_any_y_app_amt_30d,0.380721662629096,not_unique,0.0,0.0,0.0,0.0
tpay_fp_any_y_app_distinct_users_30d,0.380721662629096,not_unique,,0.0,0.0,0.0
tpay_as_payer_fp_tc_any_n_app_distinct_users_7d,0.38250669386714264,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_any_n_app_amt_7d,0.38250669386714264,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_any_n_app_qty_7d,0.38250669386714264,not_unique,,0.0,28.760284423828125,0.0
tpay_as_payer_fp_dev_n_app_distinct_users_7d,0.3893918143567513,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_dev_n_app_amt_7d,0.3893918143567513,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_dev_n_app_qty_7d,0.3893918143567513,not_unique,0.0,0.0,0.0,0.0
tpay_fp_dev_n_app_amt_90d,0.39538441922733647,not_unique,0.0,0.020513691,0.0,7.940912867584098e-06
tpay_fp_dev_n_app_qty_90d,0.39538441922733647,not_unique,0.0,0.00068595365,0.0,0.0
tpay_fp_dev_n_app_distinct_users_90d,0.39538441922733647,not_unique,,0.0,0.0,0.0
tpay_all_rej_distinct_users_30d,0.3976794593905393,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_n_app_amt_90d,0.4032895575672574,not_unique,0.0,0.023429401,0.26853370666503906,0.0
