feature,missing_value
tpay_fp_any_y_app_qty_90d,0.3265332143312508
tpay_all_app_min_amt_7d,0.33698839729695274
tpay_all_app_qty_7d,0.33698839729695274
tpay_all_app_amt_7d,0.33698839729695274
tpay_all_app_max_amt_7d,0.33698839729695274
tpay_all_app_distinct_users_7d,0.33698839729695274
tpay_fp_tc_any_y_app_qty_90d,0.34693357133749836
tpay_fp_tc_any_y_app_distinct_users_90d,0.34693357133749836
tpay_fp_tc_any_y_app_amt_90d,0.34693357133749836
tpay_all_accfund_app_amt_7d,0.3545837052148413
tpay_all_accfund_app_qty_7d,0.3545837052148413
crosses_qty_1h_ht_user_count,0.36350886140507455
tpay_as_payer_all_regular_rej_qty_90d,0.36605890603085556
tpay_as_payer_all_regular_rej_amt_90d,0.36605890603085556
tpay_as_payer_card_regular_app_amt_30d,0.37370903990819837
tpay_as_payer_card_regular_app_qty_30d,0.37370903990819837
tpay_dcard_accfund_app_qty_7d,0.37638658676526837
tpay_dcard_accfund_app_amt_7d,0.37638658676526837
tpay_fp_any_y_app_distinct_users_30d,0.380721662629096
tpay_fp_any_y_app_qty_30d,0.380721662629096
tpay_fp_any_y_app_amt_30d,0.380721662629096
tpay_any_free_pass_ratio_over_free_pass_aplicable_30d,0.380721662629096
tpay_as_payer_card_regular_rej_amt_90d,0.380721662629096
tpay_any_free_pass_ratio_over_total_30d,0.380721662629096
tpay_as_payer_card_regular_rej_qty_90d,0.380721662629096
tpay_as_payer_fp_tc_any_n_app_distinct_users_7d,0.38250669386714264
tpay_as_payer_fp_tc_any_n_app_qty_7d,0.38250669386714264
tpay_as_payer_fp_tc_any_n_app_amt_7d,0.38250669386714264
tpay_as_payer_fp_dev_n_app_amt_7d,0.3893918143567513
tpay_as_payer_fp_dev_n_app_distinct_users_7d,0.3893918143567513
tpay_as_payer_fp_dev_n_app_qty_7d,0.3893918143567513
tpay_fp_dev_n_app_amt_90d,0.39538441922733647
tpay_fp_dev_n_app_qty_90d,0.39538441922733647
tpay_fp_dev_n_app_distinct_users_90d,0.39538441922733647
tpay_all_rej_distinct_users_30d,0.3976794593905393
tpay_fp_tc_n_app_distinct_users_90d,0.4032895575672574
tpay_fp_tc_n_app_qty_90d,0.4032895575672574
tpay_fp_tc_n_app_amt_90d,0.4032895575672574
tpay_as_payer_fp_tc_n_app_qty_7d,0.4058396021930384
tpay_as_payer_fp_tc_n_app_amt_7d,0.4058396021930384
