feature,unique_value
tpay_api_ratio_over_total_1d,not_unique
tpay_fp_doc_n_rej_qty_30d,not_unique
tpay_new_user_app_max_amt_1d,not_unique
tpay_card_transfer_amt_30d,not_unique
crosses_qty_1h_oc_fraud_maybe_user_count,not_unique
tpay_as_payer_fp_tc_any_y_app_amt_30d,not_unique
tpay_d0_ratio_over_total_90d,not_unique
tpay_fp_all_n_rej_hr_distinct_users_1d,not_unique
tpay_mpos_amt_30d,not_unique
tpay_as_payer_ticket_regular_distinct_users_7d,not_unique
tpay_all_accfund_rej_amt_1d,not_unique
growth_rate_1h_od_15d,not_unique
crosses_qty_1h_oc_user_count,not_unique
tpay_as_payer_all_transfer_distinct_users_30d,not_unique
tpay_accmoney_regular_amt_1d,not_unique
tpay_fp_doc_n_rej_amt_7d,not_unique
tpay_fp_tc_n_app_distinct_users_90d,not_unique
tpay_fp_tc_n_app_qty_30d,not_unique
tpay_as_payer_accmoney_transfer_rej_qty_7d,not_unique
tpay_dcard_accfund_amt_30d,not_unique
tpay_fp_any_y_app_qty_90d,not_unique
tpay_as_payer_accmoney_regular_amt_30d,not_unique
tpay_all_app_qty_7d,not_unique
tpay_as_payer_all_transfer_canc_qty_90d,not_unique
tpay_on_app_amt_90d,not_unique
tpay_qr_rej_amt_90d,not_unique
tpay_card_regular_app_amt_90d,not_unique
tpay_qr_rej_hr_max_amt_90d,not_unique
tpay_as_payer_card_regular_app_qty_90d,not_unique
tpay_as_payer_all_regular_rej_qty_30d,not_unique
tpay_accmoney_regular_app_qty_30d,not_unique
tpay_fp_any_y_app_qty_1d,not_unique
tpay_qr_rej_hr_qty_90d,not_unique
tpay_as_payer_all_regular_amt_7d,not_unique
tpay_as_payer_fp_tc_any_y_app_qty_1d,not_unique
tpay_all_accfund_qty_90d,not_unique
tpay_qr_rej_qty_90d,not_unique
tpay_ticket_regular_amt_1d,not_unique
tpay_accmoney_regular_app_amt_7d,not_unique
tpay_registered_rej_hr_amt_7d,not_unique
tpay_fp_doc_n_rej_hr_qty_1d,not_unique
tpay_all_regular_qty_7d,not_unique
tpay_card_transfer_app_qty_30d,not_unique
crosses_qty_1h_oc_fraud_confirmed_user_count,not_unique
tpay_accmoney_transfer_app_amt_30d,not_unique
tpay_as_payer_card_regular_qty_30d,not_unique
tpay_as_payer_card_regular_canc_qty_90d,not_unique
tpay_mpos_qty_90d,not_unique
tpay_as_payer_fp_dev_y_app_distinct_users_7d,not_unique
tpay_fp_dev_y_app_amt_1d,not_unique
