feature,xgboost
tpay_dcard_accfund_amt_1d,0.04066228121519089
tpay_fp_dev_y_app_qty_30d,0.03379249572753906
tpay_fp_tc_n_rej_amt_1d,0.03227841854095459
tpay_fp_dev_n_rej_hr_distinct_users_30d,0.025379832834005356
tpay_fp_dev_n_rej_amt_90d,0.02462729811668396
tpay_dcard_accfund_amt_30d,0.018333567306399345
tpay_dcard_accfund_qty_7d,0.016905581578612328
tpay_all_app_amt_90d,0.01688341051340103
tpay_as_payer_all_regular_amt_90d,0.016682904213666916
tpay_dcard_accfund_qty_30d,0.012971686199307442
tpay_dcard_accfund_amt_7d,0.012014409527182579
tpay_fp_dev_n_rej_hr_amt_90d,0.011771523393690586
tpay_as_payer_all_regular_amt_30d,0.010799487121403217
tpay_all_app_amt_30d,0.010706774890422821
anch_app_pay_qty,0.008764896541833878
tpay_dcard_accfund_rej_amt_1d,0.008755011484026909
tpay_fp_tc_any_n_rej_hr_amt_30d,0.003577602095901966
growth_rate_1h_od_15d,0.0
tpay_fp_tc_any_n_rej_qty_90d,0.0
tpay_fp_any_y_app_qty_90d,0.0
tpay_as_payer_accmoney_regular_qty_90d,0.0
tpay_as_payer_card_regular_app_amt_90d,0.0
tpay_on_app_qty_7d,0.0
tpay_as_payer_card_transfer_qty_90d,0.0
tpay_accmoney_transfer_canc_qty_90d,0.0
tpay_as_payer_ticket_regular_qty_1d,0.0
tpay_qr_app_qty_30d,0.0
tpay_all_regular_qty_30d,0.0
tpay_fp_tc_any_n_app_distinct_users_7d,0.0
tpay_all_app_qty_7d,0.0
tpay_fp_user_n_app_qty_90d,0.0
crosses_qty_1h_od_fraud_almost_user_count,0.0
tpay_as_payer_all_transfer_canc_qty_90d,0.0
tpay_all_regular_app_qty_1d,0.0
tpay_as_payer_accmoney_transfer_distinct_users_90d,0.0
tpay_fp_tc_any_n_app_distinct_users_1d,0.0
tpay_new_user_rej_hr_distinct_users_90d,0.0
tpay_on_app_amt_90d,0.0
tpay_fp_dev_n_app_qty_1d,0.0
tpay_qr_rej_amt_90d,0.0
tpay_card_regular_app_amt_90d,0.0
tpay_as_payer_all_regular_rej_amt_1d,0.0
tpay_qr_rej_hr_max_amt_90d,0.0
tpay_off_ratio_over_total_7d,0.0
tpay_api_app_amt_1d,0.0
tpay_all_regular_canc_amt_90d,0.0
tpay_d0_app_qty_90d,0.0
tpay_as_payer_ticket_regular_distinct_users_30d,0.0
tpay_as_payer_all_regular_app_amt_7d,0.0
tpay_fp_dev_n_rej_hr_qty_90d,0.0
tpay_off_rej_amt_90d,0.0
tpay_fp_all_n_app_qty_90d,0.0
tpay_dcard_accfund_qty_1d,0.0
tpay_qr_rej_hr_distinct_users_90d,0.0
crosses_qty_1h_od_fraud_tko_user_count,0.0
tpay_accmoney_regular_canc_qty_90d,0.0
tpay_all_regular_qty_1d,0.0
tpay_all_app_qty_30d,0.0
tpay_as_payer_all_regular_canc_qty_90d,0.0
tpay_as_payer_card_regular_app_qty_90d,0.0
tpay_all_regular_app_qty_7d,0.0
tpay_as_payer_card_regular_canc_amt_7d,0.0
tpay_accmoney_transfer_amt_30d,0.0
tpay_on_app_max_amt_7d,0.0
tpay_dcard_accfund_canc_qty_7d,0.0
tpay_as_payer_fp_doc_n_app_distinct_users_7d,0.0
tpay_fp_dev_n_rej_hr_qty_30d,0.0
tpay_qr_app_max_amt_30d,0.0
tpay_fp_all_n_rej_hr_amt_90d,0.0
tpay_mpos_app_amt_1d,0.0
tpay_fp_tc_any_n_rej_hr_distinct_users_90d,0.0
tpay_as_payer_accmoney_transfer_canc_qty_7d,0.0
tpay_all_rej_hr_distinct_users_1d,0.0
tpay_as_payer_ticket_regular_distinct_users_7d,0.0
tpay_off_ratio_over_total_30d,0.0
tpay_accmoney_regular_app_qty_30d,0.0
tpay_new_dev_rej_hr_amt_90d,0.0
tpay_all_accfund_rej_amt_1d,0.0
tpay_all_accfund_qty_7d,0.0
tpay_as_payer_accmoney_transfer_rej_qty_7d,0.0
tpay_fp_tc_y_app_distinct_users_7d,0.0
tpay_fp_any_y_app_amt_7d,0.0
tpay_new_user_app_max_amt_1d,0.0
tpay_fp_any_y_app_amt_1d,0.0
tpay_as_payer_new_dev_app_qty_90d,0.0
tpay_card_transfer_amt_30d,0.0
tpay_ticket_regular_app_distinct_users_30d,0.0
crosses_qty_1h_oc_fraud_maybe_user_count,0.0
tpay_api_ratio_over_total_1d,0.0
