feature,random_forest
tpay_on_rej_hr_amt_30d,0.0
tpay_dcard_accfund_rej_amt_1d,0.0
tpay_all_transfer_rej_qty_90d,0.0
tpay_fp_tc_n_rej_amt_1d,0.0
tpay_fp_user_n_app_qty_30d,0.0
tpay_as_payer_all_transfer_canc_amt_90d,0.0
tpay_card_transfer_qty_7d,0.0
tpay_api_app_distinct_users_7d,0.0
tpay_fp_doc_n_rej_hr_distinct_users_7d,0.0
tpay_fp_dev_y_app_distinct_users_90d,0.0
tpay_fp_tc_any_n_rej_amt_1d,0.0
tpay_as_payer_card_transfer_qty_30d,0.0
tpay_all_regular_canc_amt_30d,0.0
tpay_as_payer_all_regular_distinct_users_30d,0.0
growth_rate_1h_ht_2d,0.0
tpay_accmoney_regular_qty_7d,0.0
tpay_fp_dev_n_app_qty_7d,0.0
tpay_all_regular_app_amt_7d,0.0
