feature,unique_value
ctx_receiver_id_cbk_amount_50,True
phtc_amt_500_c_90d,False
pr_tpn_online_7d_total,False
phphone_qty_imp_7d,True
phcpf_amt_c_30d,False
phcpf_tcs_rcfa_90d,False
ctx_pm_id_is_visa_deriv,False
nmdml_hits,False
ph_amt_500_ref_60d,False
vop_ratio_amount_7d_30d,False
vop_ratio_approved_qty_3d,False
vop_cbk_qty_3d,True
ph_qty_ro_7d,False
phtc_amt_150_app_acc_1d,False
phtc_amt_rec_app_acc_1d,False
phphone_qty_app_acc_7d,False
phcpf_qty_ref_1d,False
ctx_receiver_id_69860463,True
phtc_amt_750_rcfa_90d,False
ctx_receiver_id_cbk_top_qty_10,True
phd_dist_user_same_collector_90d,False
ph_amt_1000_ro_30d,False
ctx_marketplace_id_mp-mkt-3154675296942269,True
phtc_amt_app_acc_60d,False
ph_dist_dml_no_free_pass_tc_recharge_1h,True
vop_cbk_amount_7d,True
ctx_client_id_1945000207238192,False
ph_amt_rec_app_acc_60d,False
ctx_receiver_id_257188009,True
phtc_amt_cbk_30d,True
phcpf_hap_doc_number_65d,False
phd_dist_new_user_no_free_pass_tc_same_collector_1d,False
fl_p_phone_2d,False
bin_ib_bradesco,False
ph_amt_500_c_7d,False
bin_is_missing,False
ph_amt_150_app_acc_90d,False
phphone_qty_cbk_30d,False
bin_amt_avg_90d,False
nmdml_model_n53ap,False
fl_np_name,False
phcpf_count_cc_new_15d,False
ph_amt_1000_ip_prm_90d,True
phtc_qty_imp_30d,False
ph_same_rec_qty_1d,False
bin_var_app_qty_fpdv_2d_7d,False
ctx_receiver_id_high_risk_car_dealer,True
phcpf_tcs_ip_prm_60d,False
phtc_dist_doc_new_7d,False
phcpf_qty_cbk_30d,False
phcpf_qty_ip_o_30d,True
fl_pay_device_blc,False
ctx_marketplace_id_mp-mkt-1989909639599587,True
ctx_receiver_id_medium_risk_binary_bus_tickets,True
ph_qty_round_15d,False
ph_qty_bf_1d,False
phtc_qty_15m,False
phcpf_amt_750_rhr_1d,False
phtc_amt_app_acc_5m,False
ph_qty_installments_4_30d,False
vop_digcry_rej_qty_30d,False
ph_amt_90d,False
phcpf_tcs_app_acc_30d,False
fl_p_tc_30d,False
phtc_amt_500_imp_90d,True
ph_amt_round_ratio_90d,False
ph_amt_1000_cbk_90d,True
ph_amt_same_rec_rate_12h_1d,False
ph_amt_500_ro_30d,False
phtc_qty_cbp_1d,False
phphone_tcs_rcfa_30d,False
ph_qty_rcfa_90d,False
chn_max_distance_avg_ratio,False
fl_device_ml,False
fl_device_ato_30d,False
phtc_amt_50_cbk_30d,True
fl_pay_doc_fraud_30d,False
phtc_qty_ip_o_30d,True
ph_amt_50_app_acc_1d,False
fl_buy_doc_blc_15d,False
phcpf_amt_300_cbk_7d,True
ph_amt_150_ro_60d,False
phphone_qty_ref_1d,False
ctx_receiver_id_268205324,True
ph_amt_150_rcfa_1d,False
ctx_receiver_id_high_risk_universities,True
pr_tpv_atm_1d_total,True
phtc_amt_150_rcfa_7d,False
ph_qty_installments_great_12_1d,False
phd_rej_amount_new_30d,False
op_amount_pay_addition,True
phcpf_qty_c_90d,False
phtc_amt_30m,False
phtc_amt_50_rcfa_60d,False
phcpf_tcs_bf_60d,False
phtc_amt_150_bf_90d,False
phd_qty_new_user_same_collector_12h,False
bin_has_signature_card,True
phd_dist_new_user_no_free_pass_tc_same_collector_1h,False
ph_tcs_bf_30d,False
ph_amt_750_cbk_30d,True
ph_apple_product_7d,False
ph_tcs_rhr_90d,False
phphone_tcs_app_acc_30d,False
ctx_receiver_id_305874914,True
ph_qty_app_city_90d,False
phtc_amt_500_ria_1d,False
phtc_amt_150_ip_prm_30d,False
phd_amt_new_user_same_collector_90d,False
ph_amt_500_ro_60d,False
phcpf_amt_150_ip_prm_90d,False
phcpf_qty_ip_o_7d,True
ctx_receiver_id_cbk_avg_amount_10,True
ph_amt_150_ria_60d,False
ph_tcs_cbk_30d,False
ctx_client_id_8598505513858588,True
vop_ratio_tpv_tpn_90d,False
fl_pay_cust_grl,False
fl_pay_device_ato_7d,False
ph_same_rec_qty_app_7d,False
phtc_qty_cbp_7d,False
ph_qty_installments_10_7d,False
phd_qty_1h,False
ph_count_cc_type_15d,False
ctx_receiver_id_245782196,True
phcpf_amt_1h,False
vop_cbk_amount_90d,False
ph_amt_rec_app_acc_3d,False
bin_ib_votorantim,False
phtc_qty_recharge_1h,False
phtc_qty_app_acc_30d,False
nmdml_is_ipad_ios,False
ph_amt_500_rcfa_7d,False
phcpf_qty_ria_7d,False
phtc_amt_150_c_90d,False
phtc_amt_recharge_rate_1h_90d,False
cl_pwd_changes_qty_1d,False
ph_std_amount_30d,False
ph_count_cc_type_90d,False
bin_is_italy_bin,True
vop_ratio_approved_qty_7d,False
phtc_qty_app_acc_30m,False
ph_amt_1000_ref_90d,False
phd_op_pmwdmth_id_1d,False
ctx_receiver_id_200438303,True
ctx_receiver_id_229633159,True
phd_approv_qty_7d,False
crosses_qty_1h_od_is_missing,True
vop_qty_30d,False
ctx_receiver_id_low_risk_lighthouses,True
ph_amt_500_ref_30d,False
phcpf_tcs_app_acc_1d,False
ph_summary_ratio_1d,False
bin_ib_falabella,True
phtc_amt_new_user_same_collector_30d,False
phd_hap_device_65d,False
ph_amt_rate_12h_1d,False
phd_canc_qty_7d,False
ph_amt_7d,False
fl_hap_tc_30d,False
vop_rej_hrisk_qty_90d,False
bin_ib_bvfinanciera,False
phtc_count_users_new_rej_90d,False
phcpf_std_amount_12h,False
cl_phone_changes_qty_90d,False
op_amount_pos_pay,True
ctx_receiver_id_343516088,True
phd_approv_amount_6h,False
phtc_count_users_new_dev_30d,False
phtc_amt_new_user_recharge_90d,False
ph_pays_approb_30d,False
fl_p_phone_30d,False
ctx_client_id_5598369299626369,True
phtc_qty_rhr_7d,False
phtc_amt_25_ref_7d,False
phphone_avg_amount_30d,False
phcpf_amt_300_rcfa_15d,False
ctx_receiver_id_158717647,True
phd_qty_same_collector_rate_1d_90d,False
ph_amt_rhr_30d,False
phd_qty_dist_user_no_free_pass_tc_15d,False
phphone_tcs_rhr_90d,False
phtc_amt_rec_app_6h,False
ctx_receiver_id_medium_risk_gaming,True
phcpf_amt_50_c_7d,False
cl_pwd_changes_qty_12h,False
fl_sell_device_grl,False
bin_ib_bradescard,False
phcpf_tcs_app_acc_7d,False
bin_ib_dist_liverpool,True
phtc_qty_recharge_rate_1h_90d,False
